Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_ventral,_46,classification_results_test.xlsx,0.8500
fv_ventral,_47,classification_results_test.xlsx,0.9250
fv_ventral,_48,classification_results_test.xlsx,0.8750
fv_ventral,_49,classification_results_test.xlsx,0.8250
fv_ventral,_5,classification_results_test.xlsx,0.9000
fv_ventral,_50,classification_results_test.xlsx,0.9000
fv_ventral,_51,classification_results_test.xlsx,0.9500
fv_ventral,_52,classification_results_test.xlsx,0.8500
fv_ventral,_53,classification_results_test.xlsx,0.9500
fv_ventral,_54,classification_results_test.xlsx,0.9250
fv_ventral,_55,classification_results_test.xlsx,0.9500
fv_ventral,_56,classification_results_test.xlsx,0.8750
fv_ventral,_57,classification_results_test.xlsx,0.9500
fv_ventral,_58,classification_results_test.xlsx,0.9500
fv_ventral,_59,classification_results_test.xlsx,0.9750
fv_ventral,_6,classification_results_test.xlsx,0.9500
fv_ventral,_60,classification_results_test.xlsx,0.7500
fv_ventral,_61,classification_results_test.xlsx,0.8750
fv_ventral,_62,classification_results_test.xlsx,0.9000
fv_ventral,_63,classification_results_test.xlsx,0.9250
fv_ventral,_64,classification_results_test.xlsx,0.9000
fv_ventral,_65,classification_results_test.xlsx,0.9500
fv_ventral,_66,classification_results_test.xlsx,0.9000
fv_ventral,_67,classification_results_test.xlsx,0.9250
fv_ventral,_68,classification_results_test.xlsx,0.9500
fv_ventral,_69,classification_results_test.xlsx,0.9500
fv_ventral,_7,classification_results_test.xlsx,0.9250
fv_ventral,_70,classification_results_test.xlsx,0.8250
fv_ventral,_71,classification_results_test.xlsx,0.9000
fv_ventral,_72,classification_results_test.xlsx,0.9750
fv_ventral,_73,classification_results_test.xlsx,0.9750
fv_ventral,_74,classification_results_test.xlsx,0.9500
fv_ventral,_75,classification_results_test.xlsx,0.9750
fv_ventral,_76,classification_results_test.xlsx,0.8500
fv_ventral,_77,classification_results_test.xlsx,0.8250
fv_ventral,_78,classification_results_test.xlsx,0.9250
fv_ventral,_79,classification_results_test.xlsx,0.9500
fv_ventral,_8,classification_results_test.xlsx,0.9500
fv_ventral,_80,classification_results_test.xlsx,0.8750
fv_ventral,_81,classification_results_test.xlsx,0.9000
fv_ventral,_82,classification_results_test.xlsx,0.8750
fv_ventral,_83,classification_results_test.xlsx,0.8500
fv_ventral,_84,classification_results_test.xlsx,0.9500
fv_ventral,_85,classification_results_test.xlsx,0.9500
fv_ventral,_86,classification_results_test.xlsx,0.9500
fv_ventral,_87,classification_results_test.xlsx,0.8750
fv_ventral,_88,classification_results_test.xlsx,0.9500
fv_ventral,_89,classification_results_test.xlsx,0.9500
fv_ventral,_9,classification_results_test.xlsx,1.0000
fv_ventral,_90,classification_results_test.xlsx,0.8500
fv_ventral,_91,classification_results_test.xlsx,0.9500
fv_ventral,_92,classification_results_test.xlsx,0.9000
fv_ventral,_93,classification_results_test.xlsx,0.9500
fv_ventral,_94,classification_results_test.xlsx,0.9500
fv_ventral,_95,classification_results_test.xlsx,0.9000
fv_ventral,_96,classification_results_test.xlsx,0.8750
fv_ventral,_97,classification_results_test.xlsx,0.9500
fv_ventral,_98,classification_results_test.xlsx,1.0000
fv_ventral,_99,classification_results_test.xlsx,0.8500
fv_ventral_mixed,_1,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_10,classification_results_test.xlsx,0.7000
fv_ventral_mixed,_100,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_11,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_12,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_13,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_14,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_15,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_16,classification_results_test.xlsx,0.4750
fv_ventral_mixed,_17,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_18,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_19,classification_results_test.xlsx,0.6250
fv_ventral_mixed,_2,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_20,classification_results_test.xlsx,0.5500
fv_ventral_mixed,_21,classification_results_test.xlsx,0.6000
fv_ventral_mixed,_22,classification_results_test.xlsx,0.4250
fv_ventral_mixed,_23,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_24,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_25,classification_results_test.xlsx,0.5000
fv_ventral_mixed,_26,classification_results_test.xlsx,0.5250
fv_ventral_mixed,_27,classification_results_test.xlsx,0.4500
fv_ventral_mixed,_28,classification_results_test.xlsx,0.5000
